2019-01-14 14:14:37 +0100,83,count/min
2019-01-14 14:15:51 +0100,91,count/min
2019-01-14 14:15:56 +0100,88,count/min
2019-01-14 14:15:58 +0100,88,count/min
2019-01-14 14:16:02 +0100,89,count/min
2019-01-14 14:16:08 +0100,93,count/min
2019-01-14 14:16:56 +0100,75,count/min
2019-01-14 14:17:01 +0100,78,count/min
2019-01-14 14:17:02 +0100,79,count/min
2019-01-14 14:17:11 +0100,80,count/min
2019-01-14 14:17:48 +0100,92,count/min
2019-01-14 14:17:54 +0100,89,count/min
2019-01-14 14:17:55 +0100,89,count/min
2019-01-14 14:18:03 +0100,93,count/min
2019-01-14 14:18:07 +0100,94,count/min
2019-01-14 14:26:13 +0100,74,count/min
2019-01-14 14:26:17 +0100,81,count/min
2019-01-14 14:26:22 +0100,91,count/min
2019-01-14 14:27:41 +0100,84,count/min
2019-01-14 14:27:46 +0100,87,count/min
2019-01-14 14:27:48 +0100,88,count/min
2019-01-14 14:27:56 +0100,89,count/min
2019-01-14 14:27:57 +0100,89,count/min
2019-01-14 14:31:47 +0100,78,count/min
2019-01-14 14:36:13 +0100,89,count/min
2019-01-14 14:42:03 +0100,83,count/min
2019-01-14 14:48:02 +0100,83,count/min
2019-01-14 14:49:12 +0100,82,count/min
2019-01-14 14:57:14 +0100,82,count/min
2019-01-14 15:00:45 +0100,88,count/min
2019-01-14 15:06:45 +0100,81,count/min
2019-01-14 15:12:23 +0100,92,count/min
2019-01-14 15:16:15 +0100,72,count/min
2019-01-14 15:24:11 +0100,73,count/min
2019-01-14 15:34:15 +0100,86,count/min
2019-01-14 15:52:36 +0100,91,count/min
2019-01-14 16:10:37 +0100,84,count/min
2019-01-14 16:15:05 +0100,87,count/min
2019-01-14 16:22:41 +0100,90,count/min
2019-01-14 16:27:56 +0100,89,count/min
2019-01-14 16:34:10 +0100,85,count/min
2019-01-14 16:46:49 +0100,91,count/min
2019-01-14 17:40:38 +0100,86,count/min
2019-01-14 17:44:15 +0100,85,count/min
2019-01-14 17:52:35 +0100,84,count/min
2019-01-14 17:53:48 +0100,79,count/min
2019-01-14 17:58:57 +0100,72,count/min
2019-01-11 21:48:03 +0100,89,count/min
2019-01-11 22:14:07 +0100,95,count/min
2019-01-11 22:18:33 +0100,72,count/min
2019-01-11 22:21:57 +0100,77,count/min
2019-01-11 22:25:51 +0100,78,count/min
2019-01-11 22:33:27 +0100,74,count/min
2019-01-11 22:36:02 +0100,78,count/min
2019-01-11 22:42:12 +0100,67,count/min
2019-01-11 22:46:13 +0100,67,count/min
2019-01-11 22:51:42 +0100,67,count/min
2019-01-11 22:57:31 +0100,93,count/min
2019-01-11 23:02:58 +0100,84,count/min
2019-01-11 23:06:56 +0100,74,count/min
2019-01-11 23:12:28 +0100,75,count/min
2019-01-11 23:15:24 +0100,74,count/min
2019-01-11 23:23:09 +0100,73,count/min
2019-01-11 23:29:14 +0100,74,count/min
2019-01-11 23:34:49 +0100,69,count/min
2019-01-11 23:36:46 +0100,69,count/min
2019-01-11 23:44:23 +0100,61,count/min
2019-01-11 23:49:17 +0100,68,count/min
2019-01-11 23:53:27 +0100,72,count/min
2019-01-11 23:56:42 +0100,71,count/min
2019-01-12 00:00:17 +0100,69,count/min
2019-01-12 00:05:23 +0100,69,count/min
2019-01-12 00:10:28 +0100,69,count/min
2019-01-12 00:15:28 +0100,67,count/min
2019-01-12 00:20:28 +0100,68,count/min
2019-01-12 00:25:22 +0100,71,count/min
2019-01-12 00:30:38 +0100,70,count/min
2019-01-12 00:35:18 +0100,70,count/min
2019-01-12 00:40:18 +0100,70,count/min
2019-01-12 00:45:18 +0100,72,count/min
2019-01-12 00:50:43 +0100,71,count/min
2019-01-12 00:55:33 +0100,72,count/min
2019-01-12 01:01:43 +0100,69.5023,count/min
2019-01-12 01:01:38 +0100,69,count/min
2019-01-12 01:05:59 +0100,69,count/min
2019-01-12 01:10:19 +0100,68,count/min
2019-01-12 01:16:59 +0100,65,count/min
2019-01-12 01:20:24 +0100,65,count/min
2019-01-12 01:26:24 +0100,63,count/min
2019-01-12 01:30:24 +0100,65,count/min
2019-01-12 01:35:29 +0100,67,count/min
2019-01-12 01:42:34 +0100,67,count/min
2019-01-12 01:45:36 +0100,67,count/min
2019-01-12 01:51:19 +0100,68,count/min
